Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment,Category,Segment_Category
23,Buffalo Wild Wings,3114,-15.10%,1204,-0.20%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
24,Applebee's,3101,-24.10%,1600,-3.90%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
25,Chili's Grill & Bar,3082,-13.50%,1233,-0.70%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
26,Whataburger,2698,5.60%,844,1.70%,Quick Service,Burger,Quick Service & Burger
27,Texas Roadhouse,2694,-13.40%,572,3.40%,Casual Dining,Steak,Casual Dining & Steak
28,IHOP,2138,-34.60%,1670,-2.30%,Midscale,Family Style,Midscale & Family Style
29,Outback Steakhouse,2087,-20.80%,706,-2.50%,Casual Dining,Steak,Casual Dining & Steak
30,Zaxby's,1996,5.00%,909,0.60%,Fast Casual,Chicken,Fast Casual & Chicken
31,Culver's,1986,10.60%,782,6.80%,Quick Service,Burger,Quick Service & Burger
32,Jimmy John's Gourmet Sandwiches,1925,-8.50%,2705,-2.90%,Fast Casual,Sandwich,Fast Casual & Sandwich
33,Wingstop,1823,31.00%,1359,10.40%,Fast Casual,Chicken,Fast Casual & Chicken
34,Hardee's,1820,-9.50%,1755,-2.90%,Quick Service,Burger,Quick Service & Burger
35,Cracker Barrel,1770,-29.70%,663,0.50%,Midscale,Family Style,Midscale & Family Style
36,Red Lobster,1755,-29.50%,675,-0.60%,Casual Dining,Seafood,Casual Dining & Seafood
37,Denny's,1744,-35.20%,1534,-2.00%,Midscale,Family Style,Midscale & Family Style
38,Raising Cane's Chicken Fingers,1723,17.50%,509,11.40%,Fast Casual,Chicken,Fast Casual & Chicken
39,Five Guys,1711,3.00%,1382,1.00%,Fast Casual,Burger,Fast Casual & Burger
40,Jersey Mike's Subs,1595,19.60%,1854,11.40%,Fast Casual,Sandwich,Fast Casual & Sandwich
41,LongHorn Steakhouse,1587,-15.00%,538,1.50%,Casual Dining,Steak,Casual Dining & Steak
42,The Cheesecake Factory,1585,-27.30%,206,0.00%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
43,Bojangles,1374,3.20%,758,1.60%,Quick Service,Chicken,Quick Service & Chicken
44,Carl's Jr.,1281,-8.50%,1063,-2.70%,Quick Service,Burger,Quick Service & Burger
45,In-N-Out Burger,1073,9.50%,361,2.80%,Quick Service,Burger,Quick Service & Burger
46,Red Robin,1050,-32.40%,546,-1.80%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
47,El Pollo Loco,880,-1.70%,479,-0.60%,Quick Service,Chicken,Quick Service & Chicken
48,Del Taco,852,0.20%,596,0.00%,Quick Service,Mexican,Quick Service & Mexican
49,Firehouse Subs,840,0.90%,1153,-0.20%,Fast Casual,Sandwich,Fast Casual & Sandwich
50,Qdoba Mexican Eats,818,-9.20%,741,1.50%,Fast Casual,Mexican,Fast Casual & Mexican
51,Papa Murphy's Pizza,797,6.50%,1293,-2.70%,Quick Service,Pizza,Quick Service & Pizza
52,BJ's Restaurant & Brewhouse,779,-33.00%,210,1.00%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
53,Steak 'n Shake,765,-20.50%,518,-10.20%,Quick Service,Burger,Quick Service & Burger
